	worker_indices	worker_unique_ids	question_indices	ratings	guid	worker_group
0	0	round1_batch0_worker0	0	1	1_0_t0	0
1	0	round1_batch0_worker0	1	0	1_0_t1	0
2	0	round1_batch0_worker0	2	2	1_0_t2	0
3	0	round1_batch0_worker0	3	0	1_0_t3	0
4	0	round1_batch0_worker0	4	0	1_0_t4	0
5	0	round1_batch0_worker0	5	1	1_0_t5	0
6	0	round1_batch0_worker0	6	2	1_0_t6	0
7	0	round1_batch0_worker0	7	1	1_0_t7	0
8	0	round1_batch0_worker0	8	2	1_0_t8	0
9	0	round1_batch0_worker0	9	1	1_0_t9	0
10	0	round1_batch0_worker0	10	1	1_0_t10	0
11	0	round1_batch0_worker0	11	1	1_0_t11	0
12	0	round1_batch0_worker0	12	0	1_0_t12	0
13	0	round1_batch0_worker0	13	1	1_0_t13	0
14	0	round1_batch0_worker0	14	1	1_0_t14	0
15	0	round1_batch0_worker0	15	2	1_0_t15	0
16	0	round1_batch0_worker0	16	1	1_0_t16	0
17	0	round1_batch0_worker0	17	0	1_0_t17	0
18	0	round1_batch0_worker0	18	2	1_0_t18	0
19	0	round1_batch0_worker0	19	2	1_0_t19	0
20	0	round1_batch0_worker0	20	2	1_0_t20	0
21	0	round1_batch0_worker0	21	1	1_0_t21	0
22	0	round1_batch0_worker0	22	2	1_0_t22	0
23	0	round1_batch0_worker0	23	0	1_0_t23	0
24	0	round1_batch0_worker0	24	2	1_0_t24	0
25	0	round1_batch0_worker0	25	1	1_0_t25	0
26	0	round1_batch0_worker0	26	2	1_0_t26	0
27	0	round1_batch0_worker0	27	2	1_0_t27	0
28	0	round1_batch0_worker0	28	1	1_0_t28	0
29	0	round1_batch0_worker0	29	1	1_0_t29	0
30	0	round1_batch0_worker0	30	0	1_0_t30	0
31	0	round1_batch0_worker0	31	1	1_0_t31	0
32	0	round1_batch0_worker0	32	2	1_0_t32	0
33	0	round1_batch0_worker0	33	0	1_0_t33	0
34	0	round1_batch0_worker0	34	0	1_0_t34	0
35	0	round1_batch0_worker0	35	0	1_0_t35	0
36	0	round1_batch0_worker0	36	0	1_0_t36	0
37	0	round1_batch0_worker0	37	2	1_0_t37	0
38	0	round1_batch0_worker0	38	2	1_0_t38	0
39	0	round1_batch0_worker0	39	2	1_0_t39	0
40	0	round1_batch0_worker0	40	2	1_0_t40	0
41	0	round1_batch0_worker0	41	1	1_0_t41	0
42	0	round1_batch0_worker0	42	2	1_0_t42	0
43	0	round1_batch0_worker0	43	1	1_0_t43	0
44	0	round1_batch0_worker0	44	2	1_0_t44	0
45	0	round1_batch0_worker0	45	0	1_0_t45	0
46	0	round1_batch0_worker0	46	2	1_0_t46	0
47	0	round1_batch0_worker0	47	0	1_0_t47	0
48	0	round1_batch0_worker0	48	2	1_0_t48	0
49	0	round1_batch0_worker0	49	0	1_0_t49	0
50	0	round1_batch0_worker0	50	0	1_0_t50	0
51	0	round1_batch0_worker0	51	0	1_0_t51	0
52	0	round1_batch0_worker0	52	1	1_0_t52	0
53	0	round1_batch0_worker0	53	1	1_0_t53	0
54	0	round1_batch0_worker0	54	0	1_0_t54	0
55	0	round1_batch0_worker0	55	1	1_0_t55	0
56	0	round1_batch0_worker0	56	1	1_0_t56	0
57	0	round1_batch0_worker0	57	1	1_0_t57	0
58	0	round1_batch0_worker0	58	1	1_0_t58	0
59	0	round1_batch0_worker0	59	1	1_0_t59	0
60	0	round1_batch0_worker0	60	0	1_0_t60	0
61	0	round1_batch0_worker0	61	1	1_0_t61	0
